rango,parola,frequenza,lemma,pos,pos_def
151,é,4839,é,X,other
248,ok,2764,ok,X,other
268,eh,2575,eh,X,other
330,ia,2009,ia,X,other
552,s,1097,s,X,other
741,n',772,n,X,other
775,r,739,r,X,other
941,ve,590,ve,X,other
1120,b,484,b,X,other
1156,ë,465,ë,X,other
1168,f,460,f,X,other
1187,p,453,p,X,other
1294,puô,405,puô,X,other
1718,you,291,you,X,other
1823,nu,269,nu,X,other
1954,qu,248,qu,X,other
2181,q,218,q,X,other
2556,to,182,to,X,other
2880,brown,160,brown,X,other
2893,my,159,my,X,other
3325,à,136,à,X,other
3329,torres,135,torres,X,other
3417,h,131,h,X,other
3686,it,120,it,X,other
3702,red,119,red,X,other
3739,odi,118,odi,X,other
3900,ta,112,ta,X,other
3957,wallace,110,wallace,X,other
4029,on,108,on,X,other
4567,queiia,92,queiia,X,other
4620,izo,91,izo,X,other
4868,pop,85,pop,X,other
4936,gin,84,gin,X,other
